10,20,30,40,50,60,70,80,90,100
OBP2B,MMP7,CHI3L1,CST9,SLC39A6,CEACAM5,OLFM4,CEACAM5,OLFM4,CST1
MGP,APOD,CLSTN2,HLA-DQA2,SHISA2,OLFM4,SHISA2,APOD,PRAME,HLA-DQA2
CACNG4,CHI3L1,SHISA2,OLFM4,MMP7,MMP7,PROM1,AQP5,LCN2,IGFBP5
COL2A1,SHISA2,SLC1A1,CXCL14,OLFM4,CST1,SPP1,SPP1,S100A1,AREG
TCN1,ASPN,MMP7,MMP7,CST1,SLC39A6,APOD,KRT15,CST1,LCN2
CARTPT,KRT7,TCN1,NKAIN1,SPDEF,SHISA2,KRT15,CST1,BEX1,S100A1
CLCA2,PRAME,CACNG4,GSTM1,CXCL14,CXCL14,SLC39A6,PROM1,SLC39A6,OLFM4
KRT7,TCN1,APOD,KRT15,SPP1,SPP1,MMP7,LCN2,IGFBP2,AQP5
CHI3L1,PDZK1IP1,THRSP,CLSTN2,THRSP,APOD,CXCL14,SLC39A6,SPP1,PRAME
ELF5,ELF5,ASPN,SPP1,APOD,SPDEF,LCN2,CXCL14,AQP5,BEX1
APOD,STAC2,OLFM4,THRSP,NKAIN1,KRT15,CST1,MMP7,IGFBP5,SPP1
C19orf33,SPP1,PGR,CHI3L1,MSMB,CACNG4,CACNG4,IGFBP5,PROM1,CXCL14
AZGP1,GSTM1,GSTM1,APOD,KRT15,THRSP,MSMB,MSMB,AREG,CACNG4
